,Name,Details
0,School,See also school stories.
1,Epic Fantasy,"Epic Fantasy is a subgenre of fantasy that is set in invented or parallel world. It is most commonly considered to be the same genre as High Fantasy, since they share many of the same elements, but Epic Fantasy takes the story even farther, in a bigger and more epic way (e.g. the stakes are greater; the land/world is in peril; a great evil threatens the world; the conflict shakes all who dwell in the world of the story).

Epic Fantasy became more famous through the works of such as: Brandon Sanderson, Brent Weeks, Robert Jordan, Robin Hobb, Patrick Rothfuss, Scott Lynch, Joe Abercrombie, Terry Brooks, Raymond E. Feist, Tad Williams, George R.R. Martin, Steven Erikson, and more; though it's origins come long before, from J.R.R. Tolkien's The Lord of the Rings."
2,Mythology,"The term mythology can refer to a body of myths or to any traditional story. A myth is a sacred narrative explaining how the world and humankind came to be in their present form. The main characters in myths are usually gods or supernatural heroes.

The study of myth began in ancient history. Rival classes of the Greek myths by Euhemerus, Plato and Sallustius were developed by the Neoplatonists and later revived by Renaissance mythographers. The nineteenth-century comparative mythology reinterpreted myth as a primitive and failed counterpart of science (Tylor), a ""disease of language"" (Müller), or a misinterpretation of magical ritual (Frazer)."
3,Middle Grade,Middle grade is fiction aimed at children aged roughly between the ages of eight and twelve.
4,Self Help,"Self-help, or self-improvement, is a self-guided improvement[1]—economically, intellectually, or emotionally—often with a substantial psychological basis. Many different self-help groupings exist and each has its own focus, techniques, associated beliefs, proponents and in some cases, leaders. ""Self-help culture, particularly Twelve-Step culture, has provided some of our most robust new language: recovery, dysfunctional families, and codependency.""[2]"
5,High Fantasy,"High fantasy is defined as fantasy fiction set in an alternative, entirely fictional (""secondary"") world, rather than the real, or ""primary"" world. The secondary world is usually internally consistent but its rules differ in some way(s) from those of the primary world. By contrast, low fantasy is characterized by being set in the primary, or ""real"" world, or a rational and familiar fictional world, with the inclusion of magical elements."
6,Gothic,"Gothic fiction is a genre of literature that combines elements of both the uncanny and romance. As a genre, it is generally believed to have been invented by the English author Horace Walpole, with his 1764 novel The Castle of Otranto. Gothic fiction is considered to be the parent genre for both Horror and Mystery, among other genres.

The effect of Gothic fiction feeds on a pleasing sort of terror, an extension of Romantic literary pleasures that were relatively new at the time of Walpole's novel. Melodrama and parody (including self-parody) were other long-standing features of the Gothic initiated by Walpole.

Gothic literature is intimately associated with the Gothic Revival architecture of the same era. In a way similar to the gothic revivalists' rejection of the clarity and rationalism of the neoclassical style of the Enlightened Establishment, the literary Gothic embodies an appreciation of the joys of extreme emotion, the thrills of fearfulness and awe inherent in the sublime, and a quest for atmosphere. The ruins of gothic buildings gave rise to multiple linked emotions by representing the inevitable decay and collapse of human creations — thus the urge to add fake ruins as eye catchers in English landscape parks. English Gothic writers often associated medieval buildings with what they saw as a dark and terrifying period, characterized by harsh laws enforced by torture, and with mysterious, fantastic, and superstitious rituals. In literature such anti-Catholicism had a European dimension featuring Roman Catholic excesses such as the Inquisition (in southern European countries such as Italy and Spain).

Prominent features of Gothic fiction include terror (both psychological and physical), mystery, the supernatural, ghosts, haunted houses and Gothic architecture, castles, darkness, death, decay, doubles, madness, secrets, and hereditary curses.

The stock characters of Gothic fiction include tyrants, villains, bandits, maniacs, Byronic heroes, persecuted maidens, femmes fatales, monks, nuns, madwomen, magicians, vampires, werewolves, monsters, demons, angels, fallen angels, revenants, ghosts, perambulating skeletons, the Wandering Jew and the Devil himself."
7,Drama,"Drama is the specific mode of fiction represented in performance. The term comes from a Greek word meaning ""action"" (Classical Greek: δρᾶμα, drama), which is derived from ""to do"" or ""to act"" (Classical Greek: δράω, draō). The enactment of drama in theatre, performed by actors on a stage before an audience, presupposes collaborative modes of production and a collective form of reception. The structure of dramatic texts, unlike other forms of literature, is directly influenced by this collaborative production and collective reception.

Drama is also used as synonym of Dramatic (Situations of misfortunes that move vividly)."
8,Classics,"A classic stands the test of time. The work is usually considered to be a representation of the period in which it was written; and the work merits lasting recognition. In other words, if the book was published in the recent past, the work is not a classic. 

A classic has a certain universal appeal. Great works of literature touch us to our very core beings--partly because they integrate themes that are understood by readers from a wide range of backgrounds and levels of experience. Themes of love, hate, death, life, and faith touch upon some of our most basic emotional responses. 

Although the term is often associated with the Western canon, it can be applied to works of literature from all traditions, such as the Chinese classics or the Indian Vedas.

Disambiguation: The study of ancient (""classical"") civilisations and languages, see Classical studies."
9,Mental Health,
10,Paranormal,"The paranormal genre of literary fiction includes beings and phenomena that are outside the realm of normal scientific understanding of the natural world. Though the paranormal genre may include supernaturalist elements, this fiction genre generally includes creatures that have been popularized by folklore, fairy tales, and popular culture, such as fairies, aliens, shapeshifters, and the undead.

Subgenres that generally fall into the paranormal fiction category include paranormal romance , urban fantasy, fantasy romance novels, and paranormal fantasy."
11,Mystery Thriller,"Mystery-thrillers are stories with twists and turns that keep you on your toes guessing about the truth, the POV's truth, and about what will happen next. They can be written from a hero's POV or from a sinister character's POV. Some are scary and make your heart beat faster, making it hard to put down. Some stories make you laugh if you have a witty writer with an unusual sense of humor easy to relate to. Both types can be hard to put down when they're page turners. And you can find many page turners among a variety of styles and writers, depending on what seeks your fancy.
 
See also mystery."
12,Novels,"A novel is a long prose narrative that usually describes fictional characters and events in the form of a sequential story. It rests on the consensus that the novel is today the longest genre of narrative prose, followed by the novella, novelette and the short story. However, there is no consensus as to the minimal required lenght. In part because of this wide variation, the boundary between a novella and a novel may be arbitrary and difficult to determine.

The Science Fiction and Fantasy Writers of America specifies a word length of over 40,000 words for a novel, while National Novel Writing Month requires its novels to be at least 50,000 words."
13,Plays,"A play is a form of literature written by a playwright, usually consisting of scripted dialogue between characters, intended for theatrical performance rather than just reading."
14,Romance,"According to the Romance Writers of America, ""Two basic elements comprise every romance novel: a central love story and an emotionally-satisfying and optimistic ending."" Both the conflict and the climax of the novel should be directly related to that core theme of developing a romantic relationship, although the novel can also contain subplots that do not specifically relate to the main characters' romantic love. Other definitions of a romance novel may be broader, including other plots and endings or more than two people, or narrower, restricting the types of romances or conflicts."
15,Fiction,"Fiction is the telling of stories which are not real. More specifically, fiction is an imaginative form of narrative, one of the four basic rhetorical modes. Although the word fiction is derived from the Latin fingo, fingere, finxi, fictum, ""to form, create"", works of fiction need not be entirely imaginary and may include real people, places, and events. Fiction may be either written or oral. Although not all fiction is necessarily artistic, fiction is largely perceived as a form of art or entertainment. The ability to create fiction and other artistic works is considered to be a fundamental aspect of human culture, one of the defining characteristics of humanity."
