,Username,Book,Date,Rating,Comment
0,Nilufer Ozmekik,The Alchemist,"Dec 18, 2018",5,"Whenever I felt lost, depressed, sad, numb, conflicted, frustrated, exhausted, I get this book into my hands and follow the journey of young shepherd Santiago who is looking for a worldly treasure. As like T.S. Eliot says: “ The journey not the arrival matters.” 

This journey is about self discovery, fighting with your own demons, letting your heart being your own eyes and leading you throughout the dark and threatening roads of life. It’s epic, uplifting, motivational, inspirational,heartfelt, poignant! 

Here are my favorite quotes of the book:
“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”

“The simple things are also the most extraordinary things, and only the wise can see them.”

“Remember that wherever your heart is, there you will find your treasure.”

“Don't give in to your fears. If you do, you won’t be able to talk to your heart.”

“There is only one thing that makes a dream impossible to achieve: the fear of failure.”

“And, when you want something, all the universe conspires in helping you to achieve it.”"
1,Lala BooksandLala,Little Women,"Jan 18, 2020",5,"we stan.
https://youtu.be/KREaj07OEfU"
2,Jessica ❁ ➳ Silverbow ➳ ❁,Anne of Green Gables ,"Jun 19, 2012",4,"4.5 stars

Anne, my lovely, I feel restored. 


""Marilla!"" Anne sat down on Marilla's gingham lap, took Marilla's lined face between her hands, and looked gravely and tenderly into Marilla's eyes. ""I'm not a bit changed—not really. I'm only just pruned down and branched out. The real me—back here—is just the same. It won't make a bit of difference where I go or how much I change outwardly; at heart I shall always be your little Anne, who will love you and Matthew and dear Green Gables more and better every day of her life.""

Full RTC.

Pre-review:

You know what? I've been wanting to reread these books for probably a decade, and I'm still (inexplicably) battling my ever present book funk, so I'm just gonna do it. 

Gilbert Blythe, you were my first and best book boyfriend. See you soon ;)"
3,Barbie,Charlotte's Web,"Apr 16, 2019",5,"My thoughts in a nutshell 
Charlotte’s Web is one of my favorite childhood books. I watched it so many times and never got bored with it.

The story is about…
Skip over this point if you don't like the sneak peek. 
A little pig who wants to see the first show and who wants to live instead of becoming sausages.

 What impressed me the most 😊 
This little story has many important feelings and lesson. It teaches us to respect other living creatures and how to live side by side in peace. It told about humility and explained how important it is to have a great friendship. A friend who does anything to saved her little buddy’s life. A friend who once made a promise and now she will go through fire and water to keep her word.

I’ve become such a sensitive little girl if the story is about an animal’s death. I’m feeling sorry about all of them. In my world, I think they have soul and they are sentinent beings. 
This book is an amazing classic, and it made me emotional. Haha.

 Make a conclusion 
I gave it 5 stars because it is perfect for me. It has a much valuable lesson and I really appreciate it. 
I recommend it to everyone who hasn’t read it. Wait a second! Why don’t you read it yet? Go to the library, NOW! Or watch the movie I recommend it too.

 Atmosphere collage  aka.  how did I imagine the book vibes?"
4,Lucy,A Thousand Splendid Suns,"Dec 04, 2007",4,"** spoiler alert **
           For the last two months I have been putting off reading this book. For starters, I bought the book at an airport in Taiwan, which meant it didn't have a due date which meant it took a backseat to many books that I didn't have the luxury of reading whenever.

Additionally, because I've heard so much about this book already, I almost didn't want to read it at all. I've heard that it's depressing, that it's not as good as The Kite Runner, and that it's basically a novel about the brutal treatment of women in Afghanistan.

You know when you read a book or see a film that has had great reviews and you finish feeling disappointed because it didn't live up to the hype? My experience reading this book was the complete opposite. I loved it. I didn't feel the message of the book was one of brutality or depression, but of hope and the toughness of the human spirit.

There are plenty of awful scenes to lend credence to its reputation. While the story's time frame spans thirty years, the main focus of the novel are two woman, a generation apart, whose lives cross as they become the wives of the same man, Rasheed. The elder, Mariam, was born to a servant woman out of wedlock and is raised in banishment, ignorance and eventual rejection during the years the Afghani government was controlled by the communists. She finds herself forced to marry a much older man after her mother commits suicide. Laila, fifteen years younger and raised by intellectual parents, enters the marriage under much different circumstances. Alone after a bomb destroys her home and kills her parents, and pregnant by her childhood love who has fled the country, she marries Rasheed in a desperate attempt to save her unborn child.

The writing engrossed me. Much like the Kite Runner, Hosseini magically puts the reader in the city, neighborhood and house of his characters. Much to his credit, I found myself torn between wanting to yell at Laila to hush up, so that she'd avoid another beating, and kicking Rasheed myself, because he is a despicable brute.

Mariam, one of the most tragic characters in literature, makes this book what it is; a story of love and strenghth. She, who didn't have an easy day in her life, allows herself to be touched by the love of Laila and her children. In return, she performs the ultimate act of love and saves a family.

I appreciate Hosseini's portrayal of a part of the world that is under so much scrutiny lately. Afghanistan, and the city of Kabul where the story takes place, have a long history of wars and occupations which result in a great chasm between different ethnic tribes, Islam, economic classes and gender. Hosseini uses this novel to tell the story of Afghani women and the hardships that face them with each regime change.

As a woman, I feel blessed to have been given confidence and opportunities. I truly cannot imagine what it would be like to live under the conditions the women in this book live under. I am grateful to be born to the family I was born to and in a country which allows me to live the kind of life I choose.

Miram and Laila didn't have the opportunities or support that I have. And yet they survived. They endured and they reached out to others, despite their circumstances. In this, Hosseini redeems all of Afghanistan by showing these two women's humanity. He shows that in a place whose beauty was written about in a 17th century poem, where ""One could not count the moons that shimmer on her roofs and the thousand splendid suns that hide behind her walls"" is a city that can become illuminated once again."
5,Jason Koivu,Memoirs of a Geisha,"Nov 29, 2008",5,"A Cinderella romance that unexpectedly swept me away! Memoirs of a Geisha is a very picturesque and dramatic tale of a young village girl taken from her family and raised in Kyoto as a geisha. 

Usually I don't go in for romance. Don't get me wrong, I love love. But I prefer my love stories to be true. There is something immensely powerful about real love. As far as I've been able to discover, much of this story is based on the actual events of the life of former geisha Mineko Iwasaki. Why do I think so? She sued Golden for defamation of character. Apparently he included details she'd told him during their interviews that were not meant for print. Well, that's good enough for me!

I was dazzled by the details and enchanted by the well-paced plot. It's not for everyone, but if you liked the movie version you shouldn't be disappointed by the book, being that the two are identical in most ways. 

Around the time I read Memoirs... I got the chance to visit Kyoto and made a point, as many tourists do, of seeking out the Gion District. The preservation of the area makes it worth the effort and cost of traveling in Japan. Almost medieval in its narrowness, the main historical road is a delight to behold, with its architecture and decor stuck in time as it is and the occasional geisha shuffling to and from buildings. I highly encourage a visit. Go when the cherry blossoms are in bloom. Go see a tea ceremony. Just go. You'll be glad you did."
6,Ruby Granger,The Picture of Dorian Gray,"Oct 24, 2017",5,"2021 - I re-read this for university and loved it even more the second time round... Lord Henry is a paradigmatic sophist and his epigrams are delightful (partly because it's easy to forget that he is more rhetoric than truth). The connection between youthful appearance and character is also so fascinating, especially since Wilde is writing at the end of the century where physiognomy is an outdated science. What does it mean to be young? And can innocence ever be restored?

2017 - If you haven't already, you HAVE TO read this! Wilde delves into the cartesian dualist debate, asking us to question where the self truly does reside (and contradicting the popular Victorian idea of physiognomy). In his personal Fall and descent into sinfulness I saw similarities with H.G. Wells's 'The Invisible Man' where sin thrives simply because the individual cannot be held accountable. Similarly, the debate about the value of art is intriguing and, after reading this, I recommend reading Poe's 'The Oval Mirror' because, again, there are definite similarities."
7,Baba,Little Women,"Mar 23, 2022",3,"This is a classic that has never appealed from the title, cover and few reviews I have read of it over the years. A story a year in the lives of the four March sisters, the oldest being 16 and the youngest being 12 told in a style. A bildungsroman loosely based on the lives of the writer and her three sisters with numerous nods to and references to John Bunyan's Pilgrim's Progress. The work is seen as more or less the seminal Young Adult book as being pretty much the first to merge sentimental and romantic themes into a work for children. It was a roaring commercial and critical success from the off!

On completing this book I read a number of online reviews and was not surprised to find out that it is generally accepted that this depicts an idealised version of Alcott's youth and is actually seen as one of the core roots of the idea of an 'all-American girl'. The book does have an almost fairy tale like feel, but the writer still manages to build some impressive characterisations as well as lots of pulling of heartstrings. In the context of when it was written, it's overall pleasing message which although likening domesticity and the search for true love as core goals for young women , also has surprisingly strong pro-woman themes set around the strength of the mother and sense of the power and importance of female/sister kinship it's well worth the 7 out of 12, Three Stars I give it :)

2022 read"
8,Lisa of Troy,The Outsiders,"Dec 09, 2022",1,"What book did you just not “get”?

When I was in tenth grade, I read The Outsiders for the first time. The story was boring, and I didn’t connect with the characters. 

Then, we had the class discussion. Apparently, there was some “obvious” symbolism that I had missed. At the time, I thought that this book was like The Da Vinci Code, a mystery where I had missed a key clue. How brilliant this author must be! My regard for this book became almost reverential. 

Fast forward some years until Lisa becomes “Lisa of Troy.” The Outsiders appears on the  list of GoodReads books with 1 million or more ratings. Of course, I am going to read it again!

What did I think of it this time? It is still boring, and I didn’t connect with any of the characters. 
The Outsiders has a few key events, and the book should have been shorter. The repetition was ad nauseam. There were many versions of, “Golly…gee! I act like a thug but I’m just a cuddly teddy bear inside. I wouldn’t hurt nobody!” 

“Golly” is mentioned eight times in The Outsiders, and it isn’t even that long of a book. 

There are also too many different characters. Why would the author name two characters Dally and Darry? For the longest time, I thought that they were the same character.

There is no way to know if I would now pick up on the “obvious” symbolism, but if I was a betting person, I would assume not. If you want to know what I missed, you can scroll to the bottom of this. It might be a spoiler. Even knowing the symbolism this time around, it wasn’t even to redeem this book.










*Possible Spoiler*
Johnnycakes, who signed his note about supplies JC, symbolizes Jesus Christ.

Connect With Me!
Blog Twitter BookTube Facebook Insta"
9,♛ may,Pride and Prejudice,"Jan 30, 2019",4,can you believe elizabeth and darcy invented the 'enemies to lovers' trope and have been the most iconic power couple to exist ever since
10,Henry Avila,Jane Eyre,"Jul 27, 2011",5,"One of the most beloved novels in history for many generations ; ""Jane Eyre"" is set in England in the 1800's . The story of a neglected girl orphan of that name who never gives up her dream of happiness, no matter how remote a possibility, this goal can ever be reached. Hated by her cruel Aunt Mrs. Sarah Reed (NOT A BLOOD RELATIVE), and cousins Eliza, jealous of her more beautiful but spiteful sister Georgiana, and abused by them both. They look down at the beggar, this little poor girl this imposition, why is she here ? They show every day their contempt, not even bothering to hide it . It would be so nice everyone thinks, if Jane wasn't there. Her miserable, tormented life seems everlasting no escape, where would she go ? And treated like a lowly servant not a loved relative, she the orphan has to keep her feelings to herself. Bessie the nurse maid, is the only person that treats Miss Eyre kindly, secretly of course. The frosty aunt very reluctantly raised Jane, until the age of ten, then gladly Mrs. Reed sends the unwanted prepubescent Jane , to a charity school Lowood's, run by a clergyman the tyrannical Mr. Brocklehurst, he forgot the teachings of Jesus . Harshly treated there too, as are the other students (Jane is hungry and cold, often), by the director Brocklehurst, a man that believes in discipline, except for his own luxury- loving family ! Jane grows up a lonely woman with few friends, only one in fact fellow student Helen, (here for a short time) she hopes there has to be something better than mere existence. Leaving the horrible school after eight long years, the last two as a teacher the teenager gets a job as a lowly and paid little, governess , in a gloomy mansion far away. Her new ""master"" is the rather distant and frightening Mr. Edward Fairfax Rochester, a mysterious man that spends little time at home. Jane becomes attractive to the not very attractive Rochester, many questions are left unaccountably unanswered at Thornfield Hall. The little girl Adele, the governess teaches and takes care of sometimes. Along with her French nurse, Sophie, is she Rochester's child or just his ward ? Those strange horrific noises up on the third floor , dreadful, devilish and inhuman laughs in the middle of the night, what is causing them ? How did the owner of the house make all his money ? Will Rochester marry the beautiful but greedy woman Blanche Ingram, she despises Miss Eyre and make her leave Thornfield Hall. Will the plain Jane ever find a place to call her own and find love and contentment ? This classic book written by one of the brilliant but short- lived Bronte sisters Charlotte, will not disappoint readers of great literature, still worth the effort after more than a century and a half of its existence ... it will continue for who knows how long ?"
11,Pakinam Mahmoud,مائة عام من العزلة,"Jul 05, 2017",1,"بيقولوا عليها ملحمة ورواية ساحرة..و من أجمل ما كتب ماركيز!
وأنا بقول إنها مملة و تزهق وكرهتني في حياتي وفي ماركيز نفسه..و أعتقد إني مكانش المفروض أكملها وأعذب نفسي كل هذا العذاب:(
صحيح لولا إختلاف الأذواق!"
12,Claudia Lomelí,To Kill a Mockingbird,"Dec 25, 2014",4,"So... I don't really know what to say.

I think I loved this book, but for a reason beyond my understanding, it never hooked me, and it took me AGES to finish it! Some chapters (especially at the beginning) were tedious and hard for me to get through them... but then there were some chapters that I devoured (the whole Tom Robinson trial and the last ones).

I definitely learned a lesson or two from this book. Atticus is my new role model, he is really incredible. I also love Scout and Jem, those kids will be in my heart forever. Oh! And I loved the Boo Radley storyline, it left me in awe.

This book surely deserves 5 solid stars, and I kinda feel bad for giving it 4 stars, but the thing is... I was struggling to finish it, I swear I let out a relieved sigh when I read the last sentence.

But all in all, it was a great read <3. And can't tell you how much I loved the last chapters, (view spoiler)[the part were Scout stands in Boo Radley's house and realizes the way he sees everything almost made me cry (hide spoiler)]."
