,Name,Information
0,A Song of Ice and Fire ,"The series comprises one epic story that is still being written. Intended to be complete in seven volumes, the author has stated it could go on for longer.Some of the books have been adapted into a series of Graphic Novels.Martin has also written A History of the Targaryen Dynasty set 300 years before the series, as well as a prequel series called …More"
1,The Hunger Games ,The thrilling trilogy expertly described by Suzanne Collins. You enter a future world where every year two tributes from each district are thrown into an arena expected to fight to the death or get knocked out by other means. Only one can survive.Also see: The Hunger Games Companion booksSeries also known as:* Die Tribute von Panem [German]* Nälkäp…More
2,Harry Potter ,"Orphan Harry learns he is a wizard on his 11th birthday when Hagrid escorts him to magic-teaching Hogwarts School. As a baby, his mother's love protected him and vanquished the villain Voldemort, leaving the child famous as ""The Boy who Lived."" With his friends Hermione and Ron, Harry has to defeat the returned ""He Who Must Not Be Named."" More"
3,Anne of Green Gables ,This is the chronological reading order for the series.See also Chronicles of AvonleaMore
4,The Mortal Instruments ,The Mortal Instruments is the sequel to The Infernal Devices series by Cassandra Clare.Prequel: The Infernal DevicesSpin-off: The Dark ArtificesGraphic Novel adaptation: The Mortal Instruments: Graphic NovelCompanion Book: The Shadowhunter's CodexSpin-Off: The Bane ChroniclesSpin-Off/Sequel:  Tales from the Shadowhunter Academy Spin-Off/Sequel:  Gh…More
5,The Chronicles of Narnia (Publication Order) ,This is the original reading order (and the original publication order) for the series. (See also the alternative Chronological Reading Order.)Also known as:Deutsch: Die Chroniken von Narnia Ukrainian: Хроніки НарніїSlovenija: Zgodbe iz Narnije Russian: Хроники НарнииFrançais: Le Monde de NarniaSpanish: Las crónicas de NarniaBrazilian Portuguese: A…More
6,Alice's Adventures in Wonderland ,"Alice, a child in the mid-Victorian era, unintentionally goes on an underground adventure after falling down a rabbit hole into Wonderland; in the sequel, she steps through a mirror into an alternative world."
7,Robert Langdon ,"The Robert Langdon series is a set of books by Dan Brown, which feature the Harvard professor Robert Langdon, and his unplanned journies in which he uncovers plots, secrets and other historic facts."
8,To Kill a Mockingbird ,
9,The Lord of the Rings ,"See also:* Unfinished Tales* The History of Middle-EarthThe Lord of the Rings is an epic high fantasy trilogy written by English philologist and University of Oxford professor J.R.R. Tolkien. The story began as a sequel to Tolkien's earlier, less complex children's fantasy novel The Hobbit (1937), but eventually developed into a much larger work wh…More"
10,Divergent ,"Divergent: One choice can transform you. Veronica Roth's #1 New York Times bestselling debut is a gripping dystopian tale of electrifying choices, powerful consequences, unexpected romance, and a deeply flawed ""perfect society.""Insurgent: One choice can destroy you. Veronica Roth's second #1 New York Times bestseller continues the dystopian thrill …More"
11,The Hitchhiker's Guide to the Galaxy ,"Each book in the series is (mostly) a whole story with a beginning and an end; however, the plot (and characters) of every book relies 
very
 heavily on the prior books in the series.Series also known as:* Guida galattica per gli autostoppisti [Italian]* Štoparski vodnik po Galaksiji [Slovenian]* Guía del autoestopista galáctico [Spanish]* Пътево…More"
12,Percy Jackson and the Olympians ,The series that started it all. Join the adventures of Percy Jackson and his demigod friends as they fight mythological monsters and the forces of the titan lord Kronos. The sequel/spin-off series: The Heroes of Olympus The Trials of Apollo More
13,Little Women ,"Little Women was first published in two parts:1. Little Women Volume 1, containing 23 chapters.2. Little Women Volume 2, also titled Good Wives.These have been republished in one book, also titled Little Women, containing 47 chapters."
14,Time Quintet ,"Madeleine L'Engle's classic middle-grade series, the Wrinkle In Time Quintet, follows the lives of Meg Murray, her youngest brother Charles Wallace Murray, their friend Calvin O'Keefe, and her twin brothers Sandy and Dennys Murray. Beginning with A Wrinkle In Time, each novel features the characters encountering other-worldly beings and evil forces…More"
15,Ender's Saga by Orson Scott Card,"The Ender's Game series (also known as the ""Ender Quintet"") is sometimes called Enderverse or the Ender Saga. It is a series of science fiction books by Orson Scott Card. The series started with the novelette ""Ender's Game"", which was later expanded into the novel Ender's Game. It currently consists of eleven novels and ten short stories. The first…More"
16,The Twilight Saga by Stephenie Meyer,"A series of 5 books by Stephenie Meyer, with additional stories set in this world.In 2016, Life and Death was published as a standalone.See also the graphic novel adaptation: Twilight: The Graphic Novel.The series is also known as:* Saulėlydis (Lithuanian)* Houkutus (Finnish)* Crepúsculo (Spanish)* Alacakaranlık (Turkish)* Λυκόφως (Greek)Alternate …More"
